#          r        u(r)        g(r)
    0.010000         inf    0.000000
    0.020000         inf    0.000000
    0.030000         inf    0.000000
    0.040000         inf    0.000000
    0.050000         inf    0.000000
    0.060000         inf    0.000000
    0.070000         inf    0.000000
    0.080000         inf    0.000000
    0.090000         inf    0.000000
    0.100000         inf    0.000000
    0.110000         inf    0.000000
    0.120000         inf    0.000000
    0.130000         inf    0.000000
    0.140000         inf    0.000000
    0.150000         inf    0.000000
    0.160000         inf    0.000000
    0.170000         inf    0.000000
    0.180000         inf    0.000000
    0.190000         inf    0.000000
    0.200000         inf    0.000000
    0.210000         inf    0.000000
    0.220000         inf    0.000000
    0.230000         inf    0.000000
    0.240000         inf    0.000000
    0.250000         inf    0.000000
    0.260000         inf    0.000000
    0.270000         inf    0.000000
    0.280000         inf    0.000000
    0.290000         inf    0.000000
    0.300000         inf    0.000000
    0.310000         inf    0.000000
    0.320000         inf    0.000000
    0.330000         inf    0.000000
    0.340000         inf    0.000000
    0.350000         inf    0.000000
    0.360000         inf    0.000000
    0.370000         inf    0.000000
    0.380000         inf    0.000000
    0.390000         inf    0.000000
    0.400000         inf    0.000000
    0.410000         inf    0.000000
    0.420000         inf    0.000000
    0.430000         inf    0.000000
    0.440000         inf    0.000000
    0.450000         inf    0.000000
    0.460000         inf    0.000000
    0.470000         inf    0.000000
    0.480000         inf    0.000000
    0.490000         inf    0.000000
    0.500000         inf    0.000000
    0.510000         inf    0.000000
    0.520000         inf    0.000000
    0.530000         inf    0.000000
    0.540000         inf    0.000000
    0.550000         inf    0.000000
    0.560000         inf    0.000000
    0.570000         inf    0.000000
    0.580000         inf    0.000000
    0.590000         inf    0.000000
    0.600000         inf    0.000000
    0.610000         inf    0.000000
    0.620000         inf    0.000000
    0.630000         inf    0.000000
    0.640000         inf    0.000000
    0.650000         inf    0.000000
    0.660000         inf    0.000000
    0.670000         inf    0.000000
    0.680000         inf    0.000000
    0.690000         inf    0.000000
    0.700000         inf    0.000000
    0.710000         inf    0.000000
    0.720000         inf    0.000000
    0.730000         inf    0.000000
    0.740000         inf    0.000000
    0.750000         inf    0.000000
    0.760000         inf    0.000000
    0.770000         inf    0.000000
    0.780000         inf    0.000000
    0.790000         inf    0.000000
    0.800000         inf    0.000000
    0.810000         inf    0.000000
    0.820000         inf    0.000000
    0.830000         inf    0.000000
    0.840000         inf    0.000000
    0.850000         inf    0.000000
    0.860000         inf    0.000000
    0.870000         inf    0.000000
    0.880000         inf    0.000000
    0.890000         inf    0.000000
    0.900000         inf    0.000000
    0.910000         inf    0.000000
    0.920000         inf    0.000000
    0.930000         inf    0.000000
    0.940000         inf    0.000000
    0.950000         inf    0.000000
    0.960000         inf    0.000000
    0.970000         inf    0.000000
    0.980000         inf    0.000000
    0.990000         inf    0.000000
    1.000000    0.000000    1.875453
    1.010000    0.000000    1.843695
    1.020000    0.000000    1.812978
    1.030000    0.000000    1.783240
    1.040000    0.000000    1.754424
    1.050000    0.000000    1.726479
    1.060000    0.000000    1.699361
    1.070000    0.000000    1.673025
    1.080000    0.000000    1.647437
    1.090000    0.000000    1.622560
    1.100000    0.000000    1.598364
    1.110000    0.000000    1.574821
    1.120000    0.000000    1.551904
    1.130000    0.000000    1.529592
    1.140000    0.000000    1.507862
    1.150000    0.000000    1.486695
    1.160000    0.000000    1.466073
    1.170000    0.000000    1.445980
    1.180000    0.000000    1.426401
    1.190000    0.000000    1.407321
    1.200000    0.000000    1.388729
    1.210000    0.000000    1.370612
    1.220000    0.000000    1.352960
    1.230000    0.000000    1.335762
    1.240000    0.000000    1.319009
    1.250000    0.000000    1.302691
    1.260000    0.000000    1.286802
    1.270000    0.000000    1.271332
    1.280000    0.000000    1.256276
    1.290000    0.000000    1.241624
    1.300000    0.000000    1.227372
    1.310000    0.000000    1.213513
    1.320000    0.000000    1.200041
    1.330000    0.000000    1.186949
    1.340000    0.000000    1.174234
    1.350000    0.000000    1.161889
    1.360000    0.000000    1.149910
    1.370000    0.000000    1.138291
    1.380000    0.000000    1.127028
    1.390000    0.000000    1.116117
    1.400000    0.000000    1.105552
    1.410000    0.000000    1.095331
    1.420000    0.000000    1.085447
    1.430000    0.000000    1.075897
    1.440000    0.000000    1.066678
    1.450000    0.000000    1.057785
    1.460000    0.000000    1.049215
    1.470000    0.000000    1.040963
    1.480000    0.000000    1.033025
    1.490000    0.000000    1.025399
    1.500000    0.000000    1.018080
    1.510000    0.000000    1.011066
    1.520000    0.000000    1.004351
    1.530000    0.000000    0.997934
    1.540000    0.000000    0.991810
    1.550000    0.000000    0.985976
    1.560000    0.000000    0.980429
    1.570000    0.000000    0.975165
    1.580000    0.000000    0.970182
    1.590000    0.000000    0.965475
    1.600000    0.000000    0.961042
    1.610000    0.000000    0.956880
    1.620000    0.000000    0.952985
    1.630000    0.000000    0.949355
    1.640000    0.000000    0.945986
    1.650000    0.000000    0.942876
    1.660000    0.000000    0.940021
    1.670000    0.000000    0.937418
    1.680000    0.000000    0.935066
    1.690000    0.000000    0.932959
    1.700000    0.000000    0.931097
    1.710000    0.000000    0.929476
    1.720000    0.000000    0.928093
    1.730000    0.000000    0.926946
    1.740000    0.000000    0.926032
    1.750000    0.000000    0.925349
    1.760000    0.000000    0.924893
    1.770000    0.000000    0.924662
    1.780000    0.000000    0.924654
    1.790000    0.000000    0.924866
    1.800000    0.000000    0.925296
    1.810000    0.000000    0.925941
    1.820000    0.000000    0.926800
    1.830000    0.000000    0.927869
    1.840000    0.000000    0.929146
    1.850000    0.000000    0.930629
    1.860000    0.000000    0.932316
    1.870000    0.000000    0.934205
    1.880000    0.000000    0.936294
    1.890000    0.000000    0.938580
    1.900000    0.000000    0.941061
    1.910000    0.000000    0.943736
    1.920000    0.000000    0.946602
    1.930000    0.000000    0.949658
    1.940000    0.000000    0.952902
    1.950000    0.000000    0.956331
    1.960000    0.000000    0.959944
    1.970000    0.000000    0.963739
    1.980000    0.000000    0.967715
    1.990000    0.000000    0.971870
    2.000000    0.000000    0.976202
    2.010000    0.000000    0.980479
    2.020000    0.000000    0.984480
    2.030000    0.000000    0.988216
    2.040000    0.000000    0.991697
    2.050000    0.000000    0.994934
    2.060000    0.000000    0.997938
    2.070000    0.000000    1.000717
    2.080000    0.000000    1.003282
    2.090000    0.000000    1.005642
    2.100000    0.000000    1.007806
    2.110000    0.000000    1.009782
    2.120000    0.000000    1.011578
    2.130000    0.000000    1.013203
    2.140000    0.000000    1.014665
    2.150000    0.000000    1.015971
    2.160000    0.000000    1.017128
    2.170000    0.000000    1.018145
    2.180000    0.000000    1.019027
    2.190000    0.000000    1.019781
    2.200000    0.000000    1.020414
    2.210000    0.000000    1.020933
    2.220000    0.000000    1.021344
    2.230000    0.000000    1.021652
    2.240000    0.000000    1.021863
    2.250000    0.000000    1.021983
    2.260000    0.000000    1.022018
    2.270000    0.000000    1.021973
    2.280000    0.000000    1.021852
    2.290000    0.000000    1.021662
    2.300000    0.000000    1.021407
    2.310000    0.000000    1.021091
    2.320000    0.000000    1.020719
    2.330000    0.000000    1.020295
