#          r        u(r)        g(r)
    0.010000         inf    0.000000
    0.020000         inf    0.000000
    0.030000         inf    0.000000
    0.040000         inf    0.000000
    0.050000         inf    0.000000
    0.060000         inf    0.000000
    0.070000         inf    0.000000
    0.080000         inf    0.000000
    0.090000         inf    0.000000
    0.100000         inf    0.000000
    0.110000         inf    0.000000
    0.120000         inf    0.000000
    0.130000         inf    0.000000
    0.140000         inf    0.000000
    0.150000         inf    0.000000
    0.160000         inf    0.000000
    0.170000         inf    0.000000
    0.180000         inf    0.000000
    0.190000         inf    0.000000
    0.200000         inf    0.000000
    0.210000         inf    0.000000
    0.220000         inf    0.000000
    0.230000         inf    0.000000
    0.240000         inf    0.000000
    0.250000         inf    0.000000
    0.260000         inf    0.000000
    0.270000         inf    0.000000
    0.280000         inf    0.000000
    0.290000         inf    0.000000
    0.300000         inf    0.000000
    0.310000         inf    0.000000
    0.320000         inf    0.000000
    0.330000         inf    0.000000
    0.340000         inf    0.000000
    0.350000         inf    0.000000
    0.360000         inf    0.000000
    0.370000         inf    0.000000
    0.380000         inf    0.000000
    0.390000         inf    0.000000
    0.400000         inf    0.000000
    0.410000         inf    0.000000
    0.420000         inf    0.000000
    0.430000         inf    0.000000
    0.440000         inf    0.000000
    0.450000         inf    0.000000
    0.460000         inf    0.000000
    0.470000         inf    0.000000
    0.480000         inf    0.000000
    0.490000         inf    0.000000
    0.500000         inf    0.000000
    0.510000         inf    0.000000
    0.520000         inf    0.000000
    0.530000         inf    0.000000
    0.540000         inf    0.000000
    0.550000         inf    0.000000
    0.560000         inf    0.000000
    0.570000         inf    0.000000
    0.580000         inf    0.000000
    0.590000         inf    0.000000
    0.600000         inf    0.000000
    0.610000         inf    0.000000
    0.620000         inf    0.000000
    0.630000         inf    0.000000
    0.640000         inf    0.000000
    0.650000         inf    0.000000
    0.660000         inf    0.000000
    0.670000         inf    0.000000
    0.680000         inf    0.000000
    0.690000         inf    0.000000
    0.700000         inf    0.000000
    0.710000         inf    0.000000
    0.720000         inf    0.000000
    0.730000         inf    0.000000
    0.740000         inf    0.000000
    0.750000         inf    0.000000
    0.760000         inf    0.000000
    0.770000         inf    0.000000
    0.780000         inf    0.000000
    0.790000         inf    0.000000
    0.800000         inf    0.000000
    0.810000         inf    0.000000
    0.820000         inf    0.000000
    0.830000         inf    0.000000
    0.840000         inf    0.000000
    0.850000         inf    0.000000
    0.860000         inf    0.000000
    0.870000         inf    0.000000
    0.880000         inf    0.000000
    0.890000         inf    0.000000
    0.900000         inf    0.000000
    0.910000         inf    0.000000
    0.920000         inf    0.000000
    0.930000         inf    0.000000
    0.940000         inf    0.000000
    0.950000         inf    0.000000
    0.960000         inf    0.000000
    0.970000         inf    0.000000
    0.980000         inf    0.000000
    0.990000         inf    0.000000
    1.000000    0.000000    1.419887
    1.010000    0.000000    1.408775
    1.020000    0.000000    1.397858
    1.030000    0.000000    1.387129
    1.040000    0.000000    1.376584
    1.050000    0.000000    1.366218
    1.060000    0.000000    1.356028
    1.070000    0.000000    1.346010
    1.080000    0.000000    1.336159
    1.090000    0.000000    1.326473
    1.100000    0.000000    1.316949
    1.110000    0.000000    1.307583
    1.120000    0.000000    1.298374
    1.130000    0.000000    1.289319
    1.140000    0.000000    1.280415
    1.150000    0.000000    1.271661
    1.160000    0.000000    1.263054
    1.170000    0.000000    1.254593
    1.180000    0.000000    1.246276
    1.190000    0.000000    1.238102
    1.200000    0.000000    1.230068
    1.210000    0.000000    1.222175
    1.220000    0.000000    1.214419
    1.230000    0.000000    1.206801
    1.240000    0.000000    1.199319
    1.250000    0.000000    1.191972
    1.260000    0.000000    1.184758
    1.270000    0.000000    1.177678
    1.280000    0.000000    1.170730
    1.290000    0.000000    1.163913
    1.300000    0.000000    1.157226
    1.310000    0.000000    1.150669
    1.320000    0.000000    1.144241
    1.330000    0.000000    1.137941
    1.340000    0.000000    1.131768
    1.350000    0.000000    1.125723
    1.360000    0.000000    1.119803
    1.370000    0.000000    1.114009
    1.380000    0.000000    1.108340
    1.390000    0.000000    1.102796
    1.400000    0.000000    1.097375
    1.410000    0.000000    1.092078
    1.420000    0.000000    1.086903
    1.430000    0.000000    1.081851
    1.440000    0.000000    1.076921
    1.450000    0.000000    1.072112
    1.460000    0.000000    1.067423
    1.470000    0.000000    1.062856
    1.480000    0.000000    1.058408
    1.490000    0.000000    1.054080
    1.500000    0.000000    1.049870
    1.510000    0.000000    1.045779
    1.520000    0.000000    1.041807
    1.530000    0.000000    1.037952
    1.540000    0.000000    1.034215
    1.550000    0.000000    1.030594
    1.560000    0.000000    1.027090
    1.570000    0.000000    1.023702
    1.580000    0.000000    1.020429
    1.590000    0.000000    1.017272
    1.600000    0.000000    1.014230
    1.610000    0.000000    1.011302
    1.620000    0.000000    1.008488
    1.630000    0.000000    1.005788
    1.640000    0.000000    1.003201
    1.650000    0.000000    1.000727
    1.660000    0.000000    0.998366
    1.670000    0.000000    0.996117
    1.680000    0.000000    0.993980
    1.690000    0.000000    0.991954
    1.700000    0.000000    0.990039
    1.710000    0.000000    0.988234
    1.720000    0.000000    0.986540
    1.730000    0.000000    0.984956
    1.740000    0.000000    0.983482
    1.750000    0.000000    0.982117
    1.760000    0.000000    0.980860
    1.770000    0.000000    0.979712
    1.780000    0.000000    0.978673
    1.790000    0.000000    0.977741
    1.800000    0.000000    0.976917
    1.810000    0.000000    0.976200
    1.820000    0.000000    0.975589
    1.830000    0.000000    0.975085
    1.840000    0.000000    0.974688
    1.850000    0.000000    0.974396
    1.860000    0.000000    0.974210
    1.870000    0.000000    0.974129
    1.880000    0.000000    0.974153
    1.890000    0.000000    0.974281
    1.900000    0.000000    0.974514
    1.910000    0.000000    0.974851
    1.920000    0.000000    0.975291
    1.930000    0.000000    0.975835
    1.940000    0.000000    0.976482
    1.950000    0.000000    0.977232
    1.960000    0.000000    0.978084
    1.970000    0.000000    0.979039
    1.980000    0.000000    0.980096
    1.990000    0.000000    0.981254
    2.000000    0.000000    0.982514
    2.010000    0.000000    0.983797
    2.020000    0.000000    0.985026
    2.030000    0.000000    0.986201
    2.040000    0.000000    0.987324
    2.050000    0.000000    0.988398
    2.060000    0.000000    0.989422
    2.070000    0.000000    0.990398
    2.080000    0.000000    0.991329
    2.090000    0.000000    0.992214
    2.100000    0.000000    0.993055
    2.110000    0.000000    0.993854
    2.120000    0.000000    0.994611
    2.130000    0.000000    0.995328
    2.140000    0.000000    0.996006
    2.150000    0.000000    0.996647
    2.160000    0.000000    0.997251
    2.170000    0.000000    0.997819
    2.180000    0.000000    0.998354
    2.190000    0.000000    0.998855
    2.200000    0.000000    0.999323
    2.210000    0.000000    0.999761
    2.220000    0.000000    1.000169
    2.230000    0.000000    1.000548
    2.240000    0.000000    1.000899
    2.250000    0.000000    1.001223
    2.260000    0.000000    1.001521
    2.270000    0.000000    1.001794
    2.280000    0.000000    1.002043
    2.290000    0.000000    1.002269
    2.300000    0.000000    1.002473
    2.310000    0.000000    1.002656
    2.320000    0.000000    1.002819
    2.330000    0.000000    1.002962
