#          r        u(r)        g(r)
    0.010000         inf    0.000000
    0.020000         inf    0.000000
    0.030000         inf    0.000000
    0.040000         inf    0.000000
    0.050000         inf    0.000000
    0.060000         inf    0.000000
    0.070000         inf    0.000000
    0.080000         inf    0.000000
    0.090000         inf    0.000000
    0.100000         inf    0.000000
    0.110000         inf    0.000000
    0.120000         inf    0.000000
    0.130000         inf    0.000000
    0.140000         inf    0.000000
    0.150000         inf    0.000000
    0.160000         inf    0.000000
    0.170000         inf    0.000000
    0.180000         inf    0.000000
    0.190000         inf    0.000000
    0.200000         inf    0.000000
    0.210000         inf    0.000000
    0.220000         inf    0.000000
    0.230000         inf    0.000000
    0.240000         inf    0.000000
    0.250000         inf    0.000000
    0.260000         inf    0.000000
    0.270000         inf    0.000000
    0.280000         inf    0.000000
    0.290000         inf    0.000000
    0.300000         inf    0.000000
    0.310000         inf    0.000000
    0.320000         inf    0.000000
    0.330000         inf    0.000000
    0.340000         inf    0.000000
    0.350000         inf    0.000000
    0.360000         inf    0.000000
    0.370000         inf    0.000000
    0.380000         inf    0.000000
    0.390000         inf    0.000000
    0.400000         inf    0.000000
    0.410000         inf    0.000000
    0.420000         inf    0.000000
    0.430000         inf    0.000000
    0.440000         inf    0.000000
    0.450000         inf    0.000000
    0.460000         inf    0.000000
    0.470000         inf    0.000000
    0.480000         inf    0.000000
    0.490000         inf    0.000000
    0.500000         inf    0.000000
    0.510000         inf    0.000000
    0.520000         inf    0.000000
    0.530000         inf    0.000000
    0.540000         inf    0.000000
    0.550000         inf    0.000000
    0.560000         inf    0.000000
    0.570000         inf    0.000000
    0.580000         inf    0.000000
    0.590000         inf    0.000000
    0.600000         inf    0.000000
    0.610000         inf    0.000000
    0.620000         inf    0.000000
    0.630000         inf    0.000000
    0.640000         inf    0.000000
    0.650000         inf    0.000000
    0.660000         inf    0.000000
    0.670000         inf    0.000000
    0.680000         inf    0.000000
    0.690000         inf    0.000000
    0.700000         inf    0.000000
    0.710000         inf    0.000000
    0.720000         inf    0.000000
    0.730000         inf    0.000000
    0.740000         inf    0.000000
    0.750000         inf    0.000000
    0.760000         inf    0.000000
    0.770000         inf    0.000000
    0.780000         inf    0.000000
    0.790000         inf    0.000000
    0.800000         inf    0.000000
    0.810000         inf    0.000000
    0.820000         inf    0.000000
    0.830000         inf    0.000000
    0.840000         inf    0.000000
    0.850000         inf    0.000000
    0.860000         inf    0.000000
    0.870000         inf    0.000000
    0.880000         inf    0.000000
    0.890000         inf    0.000000
    0.900000         inf    0.000000
    0.910000         inf    0.000000
    0.920000         inf    0.000000
    0.930000         inf    0.000000
    0.940000         inf    0.000000
    0.950000         inf    0.000000
    0.960000         inf    0.000000
    0.970000         inf    0.000000
    0.980000         inf    0.000000
    0.990000         inf    0.000000
    1.000000    0.000000    1.600246
    1.010000    0.000000    1.582061
    1.020000    0.000000    1.564297
    1.030000    0.000000    1.546939
    1.040000    0.000000    1.529970
    1.050000    0.000000    1.513375
    1.060000    0.000000    1.497142
    1.070000    0.000000    1.481257
    1.080000    0.000000    1.465711
    1.090000    0.000000    1.450492
    1.100000    0.000000    1.435592
    1.110000    0.000000    1.421001
    1.120000    0.000000    1.406711
    1.130000    0.000000    1.392716
    1.140000    0.000000    1.379007
    1.150000    0.000000    1.365580
    1.160000    0.000000    1.352427
    1.170000    0.000000    1.339544
    1.180000    0.000000    1.326925
    1.190000    0.000000    1.314566
    1.200000    0.000000    1.302462
    1.210000    0.000000    1.290609
    1.220000    0.000000    1.279004
    1.230000    0.000000    1.267643
    1.240000    0.000000    1.256522
    1.250000    0.000000    1.245638
    1.260000    0.000000    1.234988
    1.270000    0.000000    1.224570
    1.280000    0.000000    1.214381
    1.290000    0.000000    1.204417
    1.300000    0.000000    1.194678
    1.310000    0.000000    1.185160
    1.320000    0.000000    1.175861
    1.330000    0.000000    1.166779
    1.340000    0.000000    1.157913
    1.350000    0.000000    1.149259
    1.360000    0.000000    1.140817
    1.370000    0.000000    1.132584
    1.380000    0.000000    1.124559
    1.390000    0.000000    1.116740
    1.400000    0.000000    1.109125
    1.410000    0.000000    1.101712
    1.420000    0.000000    1.094501
    1.430000    0.000000    1.087489
    1.440000    0.000000    1.080676
    1.450000    0.000000    1.074058
    1.460000    0.000000    1.067636
    1.470000    0.000000    1.061408
    1.480000    0.000000    1.055371
    1.490000    0.000000    1.049526
    1.500000    0.000000    1.043870
    1.510000    0.000000    1.038402
    1.520000    0.000000    1.033121
    1.530000    0.000000    1.028025
    1.540000    0.000000    1.023114
    1.550000    0.000000    1.018386
    1.560000    0.000000    1.013839
    1.570000    0.000000    1.009472
    1.580000    0.000000    1.005285
    1.590000    0.000000    1.001276
    1.600000    0.000000    0.997443
    1.610000    0.000000    0.993786
    1.620000    0.000000    0.990304
    1.630000    0.000000    0.986994
    1.640000    0.000000    0.983856
    1.650000    0.000000    0.980890
    1.660000    0.000000    0.978092
    1.670000    0.000000    0.975464
    1.680000    0.000000    0.973002
    1.690000    0.000000    0.970707
    1.700000    0.000000    0.968577
    1.710000    0.000000    0.966612
    1.720000    0.000000    0.964809
    1.730000    0.000000    0.963168
    1.740000    0.000000    0.961687
    1.750000    0.000000    0.960367
    1.760000    0.000000    0.959205
    1.770000    0.000000    0.958201
    1.780000    0.000000    0.957354
    1.790000    0.000000    0.956662
    1.800000    0.000000    0.956125
    1.810000    0.000000    0.955742
    1.820000    0.000000    0.955511
    1.830000    0.000000    0.955432
    1.840000    0.000000    0.955504
    1.850000    0.000000    0.955726
    1.860000    0.000000    0.956096
    1.870000    0.000000    0.956615
    1.880000    0.000000    0.957281
    1.890000    0.000000    0.958093
    1.900000    0.000000    0.959050
    1.910000    0.000000    0.960152
    1.920000    0.000000    0.961397
    1.930000    0.000000    0.962785
    1.940000    0.000000    0.964315
    1.950000    0.000000    0.965987
    1.960000    0.000000    0.967798
    1.970000    0.000000    0.969750
    1.980000    0.000000    0.971840
    1.990000    0.000000    0.974068
    2.000000    0.000000    0.976434
    2.010000    0.000000    0.978806
    2.020000    0.000000    0.981058
    2.030000    0.000000    0.983193
    2.040000    0.000000    0.985215
    2.050000    0.000000    0.987128
    2.060000    0.000000    0.988935
    2.070000    0.000000    0.990640
    2.080000    0.000000    0.992246
    2.090000    0.000000    0.993756
    2.100000    0.000000    0.995174
    2.110000    0.000000    0.996503
    2.120000    0.000000    0.997746
    2.130000    0.000000    0.998906
    2.140000    0.000000    0.999986
    2.150000    0.000000    1.000989
    2.160000    0.000000    1.001917
    2.170000    0.000000    1.002775
    2.180000    0.000000    1.003563
    2.190000    0.000000    1.004286
    2.200000    0.000000    1.004946
    2.210000    0.000000    1.005544
    2.220000    0.000000    1.006085
    2.230000    0.000000    1.006570
    2.240000    0.000000    1.007001
    2.250000    0.000000    1.007381
    2.260000    0.000000    1.007713
    2.270000    0.000000    1.007999
    2.280000    0.000000    1.008240
    2.290000    0.000000    1.008439
    2.300000    0.000000    1.008598
    2.310000    0.000000    1.008719
    2.320000    0.000000    1.008805
    2.330000    0.000000    1.008856
