#          r        u(r)        g(r)
    0.010000         inf    0.000000
    0.020000         inf    0.000000
    0.030000         inf    0.000000
    0.040000         inf    0.000000
    0.050000         inf    0.000000
    0.060000         inf    0.000000
    0.070000         inf    0.000000
    0.080000         inf    0.000000
    0.090000         inf    0.000000
    0.100000         inf    0.000000
    0.110000         inf    0.000000
    0.120000         inf    0.000000
    0.130000         inf    0.000000
    0.140000         inf    0.000000
    0.150000         inf    0.000000
    0.160000         inf    0.000000
    0.170000         inf    0.000000
    0.180000         inf    0.000000
    0.190000         inf    0.000000
    0.200000         inf    0.000000
    0.210000         inf    0.000000
    0.220000         inf    0.000000
    0.230000         inf    0.000000
    0.240000         inf    0.000000
    0.250000         inf    0.000000
    0.260000         inf    0.000000
    0.270000         inf    0.000000
    0.280000         inf    0.000000
    0.290000         inf    0.000000
    0.300000         inf    0.000000
    0.310000         inf    0.000000
    0.320000         inf    0.000000
    0.330000         inf    0.000000
    0.340000         inf    0.000000
    0.350000         inf    0.000000
    0.360000         inf    0.000000
    0.370000         inf    0.000000
    0.380000         inf    0.000000
    0.390000         inf    0.000000
    0.400000         inf    0.000000
    0.410000         inf    0.000000
    0.420000         inf    0.000000
    0.430000         inf    0.000000
    0.440000         inf    0.000000
    0.450000         inf    0.000000
    0.460000         inf    0.000000
    0.470000         inf    0.000000
    0.480000         inf    0.000000
    0.490000         inf    0.000000
    0.500000         inf    0.000000
    0.510000         inf    0.000000
    0.520000         inf    0.000000
    0.530000         inf    0.000000
    0.540000         inf    0.000000
    0.550000         inf    0.000000
    0.560000         inf    0.000000
    0.570000         inf    0.000000
    0.580000         inf    0.000000
    0.590000         inf    0.000000
    0.600000         inf    0.000000
    0.610000         inf    0.000000
    0.620000         inf    0.000000
    0.630000         inf    0.000000
    0.640000         inf    0.000000
    0.650000         inf    0.000000
    0.660000         inf    0.000000
    0.670000         inf    0.000000
    0.680000         inf    0.000000
    0.690000         inf    0.000000
    0.700000         inf    0.000000
    0.710000         inf    0.000000
    0.720000         inf    0.000000
    0.730000         inf    0.000000
    0.740000         inf    0.000000
    0.750000         inf    0.000000
    0.760000         inf    0.000000
    0.770000         inf    0.000000
    0.780000         inf    0.000000
    0.790000         inf    0.000000
    0.800000         inf    0.000000
    0.810000         inf    0.000000
    0.820000         inf    0.000000
    0.830000         inf    0.000000
    0.840000         inf    0.000000
    0.850000         inf    0.000000
    0.860000         inf    0.000000
    0.870000         inf    0.000000
    0.880000         inf    0.000000
    0.890000         inf    0.000000
    0.900000         inf    0.000000
    0.910000         inf    0.000000
    0.920000         inf    0.000000
    0.930000         inf    0.000000
    0.940000         inf    0.000000
    0.950000         inf    0.000000
    0.960000         inf    0.000000
    0.970000         inf    0.000000
    0.980000         inf    0.000000
    0.990000         inf    0.000000
    1.000000    0.000000    1.757812
    1.010000    0.000000    1.732271
    1.020000    0.000000    1.707461
    1.030000    0.000000    1.683342
    1.040000    0.000000    1.659882
    1.050000    0.000000    1.637048
    1.060000    0.000000    1.614812
    1.070000    0.000000    1.593147
    1.080000    0.000000    1.572032
    1.090000    0.000000    1.551442
    1.100000    0.000000    1.531360
    1.110000    0.000000    1.511766
    1.120000    0.000000    1.492645
    1.130000    0.000000    1.473981
    1.140000    0.000000    1.455760
    1.150000    0.000000    1.437970
    1.160000    0.000000    1.420599
    1.170000    0.000000    1.403635
    1.180000    0.000000    1.387070
    1.190000    0.000000    1.370894
    1.200000    0.000000    1.355097
    1.210000    0.000000    1.339673
    1.220000    0.000000    1.324614
    1.230000    0.000000    1.309912
    1.240000    0.000000    1.295563
    1.250000    0.000000    1.281558
    1.260000    0.000000    1.267893
    1.270000    0.000000    1.254563
    1.280000    0.000000    1.241562
    1.290000    0.000000    1.228886
    1.300000    0.000000    1.216529
    1.310000    0.000000    1.204488
    1.320000    0.000000    1.192759
    1.330000    0.000000    1.181337
    1.340000    0.000000    1.170218
    1.350000    0.000000    1.159400
    1.360000    0.000000    1.148879
    1.370000    0.000000    1.138650
    1.380000    0.000000    1.128712
    1.390000    0.000000    1.119060
    1.400000    0.000000    1.109692
    1.410000    0.000000    1.100604
    1.420000    0.000000    1.091794
    1.430000    0.000000    1.083258
    1.440000    0.000000    1.074995
    1.450000    0.000000    1.067000
    1.460000    0.000000    1.059272
    1.470000    0.000000    1.051808
    1.480000    0.000000    1.044605
    1.490000    0.000000    1.037660
    1.500000    0.000000    1.030972
    1.510000    0.000000    1.024537
    1.520000    0.000000    1.018353
    1.530000    0.000000    1.012418
    1.540000    0.000000    1.006729
    1.550000    0.000000    1.001284
    1.560000    0.000000    0.996080
    1.570000    0.000000    0.991115
    1.580000    0.000000    0.986388
    1.590000    0.000000    0.981895
    1.600000    0.000000    0.977634
    1.610000    0.000000    0.973604
    1.620000    0.000000    0.969801
    1.630000    0.000000    0.966224
    1.640000    0.000000    0.962871
    1.650000    0.000000    0.959740
    1.660000    0.000000    0.956828
    1.670000    0.000000    0.954133
    1.680000    0.000000    0.951653
    1.690000    0.000000    0.949387
    1.700000    0.000000    0.947332
    1.710000    0.000000    0.945486
    1.720000    0.000000    0.943848
    1.730000    0.000000    0.942414
    1.740000    0.000000    0.941185
    1.750000    0.000000    0.940156
    1.760000    0.000000    0.939328
    1.770000    0.000000    0.938697
    1.780000    0.000000    0.938262
    1.790000    0.000000    0.938021
    1.800000    0.000000    0.937973
    1.810000    0.000000    0.938115
    1.820000    0.000000    0.938446
    1.830000    0.000000    0.938965
    1.840000    0.000000    0.939669
    1.850000    0.000000    0.940557
    1.860000    0.000000    0.941627
    1.870000    0.000000    0.942878
    1.880000    0.000000    0.944308
    1.890000    0.000000    0.945916
    1.900000    0.000000    0.947699
    1.910000    0.000000    0.949658
    1.920000    0.000000    0.951789
    1.930000    0.000000    0.954092
    1.940000    0.000000    0.956565
    1.950000    0.000000    0.959207
    1.960000    0.000000    0.962017
    1.970000    0.000000    0.964993
    1.980000    0.000000    0.968134
    1.990000    0.000000    0.971438
    2.000000    0.000000    0.974905
    2.010000    0.000000    0.978349
    2.020000    0.000000    0.981592
    2.030000    0.000000    0.984640
    2.040000    0.000000    0.987501
    2.050000    0.000000    0.990182
    2.060000    0.000000    0.992690
    2.070000    0.000000    0.995031
    2.080000    0.000000    0.997212
    2.090000    0.000000    0.999239
    2.100000    0.000000    1.001118
    2.110000    0.000000    1.002855
    2.120000    0.000000    1.004456
    2.130000    0.000000    1.005926
    2.140000    0.000000    1.007271
    2.150000    0.000000    1.008496
    2.160000    0.000000    1.009606
    2.170000    0.000000    1.010606
    2.180000    0.000000    1.011501
    2.190000    0.000000    1.012296
    2.200000    0.000000    1.012996
    2.210000    0.000000    1.013604
    2.220000    0.000000    1.014126
    2.230000    0.000000    1.014566
    2.240000    0.000000    1.014928
    2.250000    0.000000    1.015215
    2.260000    0.000000    1.015433
    2.270000    0.000000    1.015584
    2.280000    0.000000    1.015672
    2.290000    0.000000    1.015702
    2.300000    0.000000    1.015677
    2.310000    0.000000    1.015600
    2.320000    0.000000    1.015474
    2.330000    0.000000    1.015303
