#          r        u(r)        g(r)
    0.010000         inf    0.000000
    0.020000         inf    0.000000
    0.030000         inf    0.000000
    0.040000         inf    0.000000
    0.050000         inf    0.000000
    0.060000         inf    0.000000
    0.070000         inf    0.000000
    0.080000         inf    0.000000
    0.090000         inf    0.000000
    0.100000         inf    0.000000
    0.110000         inf    0.000000
    0.120000         inf    0.000000
    0.130000         inf    0.000000
    0.140000         inf    0.000000
    0.150000         inf    0.000000
    0.160000         inf    0.000000
    0.170000         inf    0.000000
    0.180000         inf    0.000000
    0.190000         inf    0.000000
    0.200000         inf    0.000000
    0.210000         inf    0.000000
    0.220000         inf    0.000000
    0.230000         inf    0.000000
    0.240000         inf    0.000000
    0.250000         inf    0.000000
    0.260000         inf    0.000000
    0.270000         inf    0.000000
    0.280000         inf    0.000000
    0.290000         inf    0.000000
    0.300000         inf    0.000000
    0.310000         inf    0.000000
    0.320000         inf    0.000000
    0.330000         inf    0.000000
    0.340000         inf    0.000000
    0.350000         inf    0.000000
    0.360000         inf    0.000000
    0.370000         inf    0.000000
    0.380000         inf    0.000000
    0.390000         inf    0.000000
    0.400000         inf    0.000000
    0.410000         inf    0.000000
    0.420000         inf    0.000000
    0.430000         inf    0.000000
    0.440000         inf    0.000000
    0.450000         inf    0.000000
    0.460000         inf    0.000000
    0.470000         inf    0.000000
    0.480000         inf    0.000000
    0.490000         inf    0.000000
    0.500000         inf    0.000000
    0.510000         inf    0.000000
    0.520000         inf    0.000000
    0.530000         inf    0.000000
    0.540000         inf    0.000000
    0.550000         inf    0.000000
    0.560000         inf    0.000000
    0.570000         inf    0.000000
    0.580000         inf    0.000000
    0.590000         inf    0.000000
    0.600000         inf    0.000000
    0.610000         inf    0.000000
    0.620000         inf    0.000000
    0.630000         inf    0.000000
    0.640000         inf    0.000000
    0.650000         inf    0.000000
    0.660000         inf    0.000000
    0.670000         inf    0.000000
    0.680000         inf    0.000000
    0.690000         inf    0.000000
    0.700000         inf    0.000000
    0.710000         inf    0.000000
    0.720000         inf    0.000000
    0.730000         inf    0.000000
    0.740000         inf    0.000000
    0.750000         inf    0.000000
    0.760000         inf    0.000000
    0.770000         inf    0.000000
    0.780000         inf    0.000000
    0.790000         inf    0.000000
    0.800000         inf    0.000000
    0.810000         inf    0.000000
    0.820000         inf    0.000000
    0.830000         inf    0.000000
    0.840000         inf    0.000000
    0.850000         inf    0.000000
    0.860000         inf    0.000000
    0.870000         inf    0.000000
    0.880000         inf    0.000000
    0.890000         inf    0.000000
    0.900000         inf    0.000000
    0.910000         inf    0.000000
    0.920000         inf    0.000000
    0.930000         inf    0.000000
    0.940000         inf    0.000000
    0.950000         inf    0.000000
    0.960000         inf    0.000000
    0.970000         inf    0.000000
    0.980000         inf    0.000000
    0.990000         inf    0.000000
    1.000000    0.000000    8.452292
    1.010000    0.000000    7.133804
    1.020000    0.000000    6.160417
    1.030000    0.000000    5.416579
    1.040000    0.000000    4.827441
    1.050000    0.000000    4.344456
    1.060000    0.000000    3.936076
    1.070000    0.000000    3.581732
    1.080000    0.000000    3.267949
    1.090000    0.000000    2.985831
    1.100000    0.000000    2.729441
    1.110000    0.000000    2.494750
    1.120000    0.000000    2.278958
    1.130000    0.000000    2.080062
    1.140000    0.000000    1.896571
    1.150000    0.000000    1.727328
    1.160000    0.000000    1.571387
    1.170000    0.000000    1.427947
    1.180000    0.000000    1.296299
    1.190000    0.000000    1.175798
    1.200000    0.000000    1.065842
    1.210000    0.000000    0.965864
    1.220000    0.000000    0.875319
    1.230000    0.000000    0.793686
    1.240000    0.000000    0.720462
    1.250000    0.000000    0.655159
    1.260000    0.000000    0.597308
    1.270000    0.000000    0.546455
    1.280000    0.000000    0.502162
    1.290000    0.000000    0.464006
    1.300000    0.000000    0.431583
    1.310000    0.000000    0.404502
    1.320000    0.000000    0.382390
    1.330000    0.000000    0.364889
    1.340000    0.000000    0.351658
    1.350000    0.000000    0.342372
    1.360000    0.000000    0.336719
    1.370000    0.000000    0.334407
    1.380000    0.000000    0.335157
    1.390000    0.000000    0.338703
    1.400000    0.000000    0.344797
    1.410000    0.000000    0.353202
    1.420000    0.000000    0.363699
    1.430000    0.000000    0.376079
    1.440000    0.000000    0.390146
    1.450000    0.000000    0.405720
    1.460000    0.000000    0.422628
    1.470000    0.000000    0.440714
    1.480000    0.000000    0.459829
    1.490000    0.000000    0.479838
    1.500000    0.000000    0.500613
    1.510000    0.000000    0.522039
    1.520000    0.000000    0.544008
    1.530000    0.000000    0.566423
    1.540000    0.000000    0.589194
    1.550000    0.000000    0.612239
    1.560000    0.000000    0.635484
    1.570000    0.000000    0.658862
    1.580000    0.000000    0.682314
    1.590000    0.000000    0.705786
    1.600000    0.000000    0.729230
    1.610000    0.000000    0.752605
    1.620000    0.000000    0.775872
    1.630000    0.000000    0.799002
    1.640000    0.000000    0.821965
    1.650000    0.000000    0.844740
    1.660000    0.000000    0.867308
    1.670000    0.000000    0.889652
    1.680000    0.000000    0.911762
    1.690000    0.000000    0.933627
    1.700000    0.000000    0.955243
    1.710000    0.000000    0.976605
    1.720000    0.000000    0.997714
    1.730000    0.000000    1.018569
    1.740000    0.000000    1.039173
    1.750000    0.000000    1.059533
    1.760000    0.000000    1.079655
    1.770000    0.000000    1.099545
    1.780000    0.000000    1.119214
    1.790000    0.000000    1.138672
    1.800000    0.000000    1.157929
    1.810000    0.000000    1.176999
    1.820000    0.000000    1.195894
    1.830000    0.000000    1.214627
    1.840000    0.000000    1.233212
    1.850000    0.000000    1.251664
    1.860000    0.000000    1.269998
    1.870000    0.000000    1.288227
    1.880000    0.000000    1.306368
    1.890000    0.000000    1.324436
    1.900000    0.000000    1.342446
    1.910000    0.000000    1.360413
    1.920000    0.000000    1.378352
    1.930000    0.000000    1.396279
    1.940000    0.000000    1.414208
    1.950000    0.000000    1.432154
    1.960000    0.000000    1.450132
    1.970000    0.000000    1.468156
    1.980000    0.000000    1.486241
    1.990000    0.000000    1.504399
    2.000000    0.000000    1.522645
    2.010000    0.000000    1.530677
    2.020000    0.000000    1.521965
    2.030000    0.000000    1.500943
    2.040000    0.000000    1.470836
    2.050000    0.000000    1.434047
    2.060000    0.000000    1.392418
    2.070000    0.000000    1.347395
    2.080000    0.000000    1.300140
    2.090000    0.000000    1.251605
    2.100000    0.000000    1.202581
    2.110000    0.000000    1.153730
    2.120000    0.000000    1.105612
    2.130000    0.000000    1.058700
    2.140000    0.000000    1.013391
    2.150000    0.000000    0.970017
    2.160000    0.000000    0.928854
    2.170000    0.000000    0.890123
    2.180000    0.000000    0.854002
    2.190000    0.000000    0.820625
    2.200000    0.000000    0.790089
    2.210000    0.000000    0.762456
    2.220000    0.000000    0.737759
    2.230000    0.000000    0.716003
    2.240000    0.000000    0.697167
    2.250000    0.000000    0.681213
    2.260000    0.000000    0.668078
    2.270000    0.000000    0.657688
    2.280000    0.000000    0.649950
    2.290000    0.000000    0.644763
    2.300000    0.000000    0.642014
    2.310000    0.000000    0.641580
    2.320000    0.000000    0.643334
    2.330000    0.000000    0.647142
