#          r        u(r)        g(r)
    0.010000         inf    0.000000
    0.020000         inf    0.000000
    0.030000         inf    0.000000
    0.040000         inf    0.000000
    0.050000         inf    0.000000
    0.060000         inf    0.000000
    0.070000         inf    0.000000
    0.080000         inf    0.000000
    0.090000         inf    0.000000
    0.100000         inf    0.000000
    0.110000         inf    0.000000
    0.120000         inf    0.000000
    0.130000         inf    0.000000
    0.140000         inf    0.000000
    0.150000         inf    0.000000
    0.160000         inf    0.000000
    0.170000         inf    0.000000
    0.180000         inf    0.000000
    0.190000         inf    0.000000
    0.200000         inf    0.000000
    0.210000         inf    0.000000
    0.220000         inf    0.000000
    0.230000         inf    0.000000
    0.240000         inf    0.000000
    0.250000         inf    0.000000
    0.260000         inf    0.000000
    0.270000         inf    0.000000
    0.280000         inf    0.000000
    0.290000         inf    0.000000
    0.300000         inf    0.000000
    0.310000         inf    0.000000
    0.320000         inf    0.000000
    0.330000         inf    0.000000
    0.340000         inf    0.000000
    0.350000         inf    0.000000
    0.360000         inf    0.000000
    0.370000         inf    0.000000
    0.380000         inf    0.000000
    0.390000         inf    0.000000
    0.400000         inf    0.000000
    0.410000         inf    0.000000
    0.420000         inf    0.000000
    0.430000         inf    0.000000
    0.440000         inf    0.000000
    0.450000         inf    0.000000
    0.460000         inf    0.000000
    0.470000         inf    0.000000
    0.480000         inf    0.000000
    0.490000         inf    0.000000
    0.500000         inf    0.000000
    0.510000         inf    0.000000
    0.520000         inf    0.000000
    0.530000         inf    0.000000
    0.540000         inf    0.000000
    0.550000         inf    0.000000
    0.560000         inf    0.000000
    0.570000         inf    0.000000
    0.580000         inf    0.000000
    0.590000         inf    0.000000
    0.600000         inf    0.000000
    0.610000         inf    0.000000
    0.620000         inf    0.000000
    0.630000         inf    0.000000
    0.640000         inf    0.000000
    0.650000         inf    0.000000
    0.660000         inf    0.000000
    0.670000         inf    0.000000
    0.680000         inf    0.000000
    0.690000         inf    0.000000
    0.700000         inf    0.000000
    0.710000         inf    0.000000
    0.720000         inf    0.000000
    0.730000         inf    0.000000
    0.740000         inf    0.000000
    0.750000         inf    0.000000
    0.760000         inf    0.000000
    0.770000         inf    0.000000
    0.780000         inf    0.000000
    0.790000         inf    0.000000
    0.800000         inf    0.000000
    0.810000         inf    0.000000
    0.820000         inf    0.000000
    0.830000         inf    0.000000
    0.840000         inf    0.000000
    0.850000         inf    0.000000
    0.860000         inf    0.000000
    0.870000         inf    0.000000
    0.880000         inf    0.000000
    0.890000         inf    0.000000
    0.900000         inf    0.000000
    0.910000         inf    0.000000
    0.920000         inf    0.000000
    0.930000         inf    0.000000
    0.940000         inf    0.000000
    0.950000         inf    0.000000
    0.960000         inf    0.000000
    0.970000         inf    0.000000
    0.980000         inf    0.000000
    0.990000         inf    0.000000
    1.000000    0.000000    3.004096
    1.010000    0.000000    2.880674
    1.020000    0.000000    2.766643
    1.030000    0.000000    2.660829
    1.040000    0.000000    2.562240
    1.050000    0.000000    2.470031
    1.060000    0.000000    2.383487
    1.070000    0.000000    2.301996
    1.080000    0.000000    2.225040
    1.090000    0.000000    2.152177
    1.100000    0.000000    2.083027
    1.110000    0.000000    2.017267
    1.120000    0.000000    1.954620
    1.130000    0.000000    1.894846
    1.140000    0.000000    1.837741
    1.150000    0.000000    1.783126
    1.160000    0.000000    1.730847
    1.170000    0.000000    1.680768
    1.180000    0.000000    1.632771
    1.190000    0.000000    1.586754
    1.200000    0.000000    1.542623
    1.210000    0.000000    1.500296
    1.220000    0.000000    1.459701
    1.230000    0.000000    1.420770
    1.240000    0.000000    1.383445
    1.250000    0.000000    1.347669
    1.260000    0.000000    1.313393
    1.270000    0.000000    1.280569
    1.280000    0.000000    1.249154
    1.290000    0.000000    1.219107
    1.300000    0.000000    1.190389
    1.310000    0.000000    1.162964
    1.320000    0.000000    1.136796
    1.330000    0.000000    1.111853
    1.340000    0.000000    1.088102
    1.350000    0.000000    1.065512
    1.360000    0.000000    1.044054
    1.370000    0.000000    1.023697
    1.380000    0.000000    1.004415
    1.390000    0.000000    0.986178
    1.400000    0.000000    0.968962
    1.410000    0.000000    0.952738
    1.420000    0.000000    0.937483
    1.430000    0.000000    0.923170
    1.440000    0.000000    0.909775
    1.450000    0.000000    0.897273
    1.460000    0.000000    0.885643
    1.470000    0.000000    0.874859
    1.480000    0.000000    0.864900
    1.490000    0.000000    0.855744
    1.500000    0.000000    0.847368
    1.510000    0.000000    0.839752
    1.520000    0.000000    0.832874
    1.530000    0.000000    0.826714
    1.540000    0.000000    0.821252
    1.550000    0.000000    0.816469
    1.560000    0.000000    0.812344
    1.570000    0.000000    0.808861
    1.580000    0.000000    0.805999
    1.590000    0.000000    0.803742
    1.600000    0.000000    0.802071
    1.610000    0.000000    0.800970
    1.620000    0.000000    0.800422
    1.630000    0.000000    0.800410
    1.640000    0.000000    0.800920
    1.650000    0.000000    0.801935
    1.660000    0.000000    0.803440
    1.670000    0.000000    0.805421
    1.680000    0.000000    0.807863
    1.690000    0.000000    0.810753
    1.700000    0.000000    0.814077
    1.710000    0.000000    0.817823
    1.720000    0.000000    0.821976
    1.730000    0.000000    0.826526
    1.740000    0.000000    0.831460
    1.750000    0.000000    0.836767
    1.760000    0.000000    0.842435
    1.770000    0.000000    0.848454
    1.780000    0.000000    0.854813
    1.790000    0.000000    0.861502
    1.800000    0.000000    0.868511
    1.810000    0.000000    0.875831
    1.820000    0.000000    0.883453
    1.830000    0.000000    0.891368
    1.840000    0.000000    0.899568
    1.850000    0.000000    0.908044
    1.860000    0.000000    0.916789
    1.870000    0.000000    0.925795
    1.880000    0.000000    0.935055
    1.890000    0.000000    0.944562
    1.900000    0.000000    0.954310
    1.910000    0.000000    0.964292
    1.920000    0.000000    0.974503
    1.930000    0.000000    0.984937
    1.940000    0.000000    0.995587
    1.950000    0.000000    1.006450
    1.960000    0.000000    1.017519
    1.970000    0.000000    1.028791
    1.980000    0.000000    1.040261
    1.990000    0.000000    1.051925
    2.000000    0.000000    1.063779
    2.010000    0.000000    1.074901
    2.020000    0.000000    1.084460
    2.030000    0.000000    1.092584
    2.040000    0.000000    1.099387
    2.050000    0.000000    1.104975
    2.060000    0.000000    1.109446
    2.070000    0.000000    1.112889
    2.080000    0.000000    1.115389
    2.090000    0.000000    1.117022
    2.100000    0.000000    1.117862
    2.110000    0.000000    1.117976
    2.120000    0.000000    1.117428
    2.130000    0.000000    1.116277
    2.140000    0.000000    1.114579
    2.150000    0.000000    1.112386
    2.160000    0.000000    1.109748
    2.170000    0.000000    1.106711
    2.180000    0.000000    1.103319
    2.190000    0.000000    1.099613
    2.200000    0.000000    1.095632
    2.210000    0.000000    1.091413
    2.220000    0.000000    1.086991
    2.230000    0.000000    1.082397
    2.240000    0.000000    1.077663
    2.250000    0.000000    1.072817
    2.260000    0.000000    1.067887
    2.270000    0.000000    1.062897
    2.280000    0.000000    1.057872
    2.290000    0.000000    1.052834
    2.300000    0.000000    1.047803
    2.310000    0.000000    1.042800
    2.320000    0.000000    1.037842
    2.330000    0.000000    1.032945
