#          r        u(r)        g(r)
    0.010000         inf    0.000000
    0.020000         inf    0.000000
    0.030000         inf    0.000000
    0.040000         inf    0.000000
    0.050000         inf    0.000000
    0.060000         inf    0.000000
    0.070000         inf    0.000000
    0.080000         inf    0.000000
    0.090000         inf    0.000000
    0.100000         inf    0.000000
    0.110000         inf    0.000000
    0.120000         inf    0.000000
    0.130000         inf    0.000000
    0.140000         inf    0.000000
    0.150000         inf    0.000000
    0.160000         inf    0.000000
    0.170000         inf    0.000000
    0.180000         inf    0.000000
    0.190000         inf    0.000000
    0.200000         inf    0.000000
    0.210000         inf    0.000000
    0.220000         inf    0.000000
    0.230000         inf    0.000000
    0.240000         inf    0.000000
    0.250000         inf    0.000000
    0.260000         inf    0.000000
    0.270000         inf    0.000000
    0.280000         inf    0.000000
    0.290000         inf    0.000000
    0.300000         inf    0.000000
    0.310000         inf    0.000000
    0.320000         inf    0.000000
    0.330000         inf    0.000000
    0.340000         inf    0.000000
    0.350000         inf    0.000000
    0.360000         inf    0.000000
    0.370000         inf    0.000000
    0.380000         inf    0.000000
    0.390000         inf    0.000000
    0.400000         inf    0.000000
    0.410000         inf    0.000000
    0.420000         inf    0.000000
    0.430000         inf    0.000000
    0.440000         inf    0.000000
    0.450000         inf    0.000000
    0.460000         inf    0.000000
    0.470000         inf    0.000000
    0.480000         inf    0.000000
    0.490000         inf    0.000000
    0.500000         inf    0.000000
    0.510000         inf    0.000000
    0.520000         inf    0.000000
    0.530000         inf    0.000000
    0.540000         inf    0.000000
    0.550000         inf    0.000000
    0.560000         inf    0.000000
    0.570000         inf    0.000000
    0.580000         inf    0.000000
    0.590000         inf    0.000000
    0.600000         inf    0.000000
    0.610000         inf    0.000000
    0.620000         inf    0.000000
    0.630000         inf    0.000000
    0.640000         inf    0.000000
    0.650000         inf    0.000000
    0.660000         inf    0.000000
    0.670000         inf    0.000000
    0.680000         inf    0.000000
    0.690000         inf    0.000000
    0.700000         inf    0.000000
    0.710000         inf    0.000000
    0.720000         inf    0.000000
    0.730000         inf    0.000000
    0.740000         inf    0.000000
    0.750000         inf    0.000000
    0.760000         inf    0.000000
    0.770000         inf    0.000000
    0.780000         inf    0.000000
    0.790000         inf    0.000000
    0.800000         inf    0.000000
    0.810000         inf    0.000000
    0.820000         inf    0.000000
    0.830000         inf    0.000000
    0.840000         inf    0.000000
    0.850000         inf    0.000000
    0.860000         inf    0.000000
    0.870000         inf    0.000000
    0.880000         inf    0.000000
    0.890000         inf    0.000000
    0.900000         inf    0.000000
    0.910000         inf    0.000000
    0.920000         inf    0.000000
    0.930000         inf    0.000000
    0.940000         inf    0.000000
    0.950000         inf    0.000000
    0.960000         inf    0.000000
    0.970000         inf    0.000000
    0.980000         inf    0.000000
    0.990000         inf    0.000000
    1.000000    0.000000    6.000000
    1.010000    0.000000    5.362239
    1.020000    0.000000    4.843059
    1.030000    0.000000    4.412398
    1.040000    0.000000    4.048405
    1.050000    0.000000    3.735177
    1.060000    0.000000    3.461129
    1.070000    0.000000    3.217802
    1.080000    0.000000    2.999003
    1.090000    0.000000    2.800185
    1.100000    0.000000    2.617989
    1.110000    0.000000    2.449919
    1.120000    0.000000    2.294105
    1.130000    0.000000    2.149127
    1.140000    0.000000    2.013897
    1.150000    0.000000    1.887560
    1.160000    0.000000    1.769436
    1.170000    0.000000    1.658968
    1.180000    0.000000    1.555693
    1.190000    0.000000    1.459209
    1.200000    0.000000    1.369169
    1.210000    0.000000    1.285256
    1.220000    0.000000    1.207183
    1.230000    0.000000    1.134684
    1.240000    0.000000    1.067506
    1.250000    0.000000    1.005410
    1.260000    0.000000    0.948168
    1.270000    0.000000    0.895559
    1.280000    0.000000    0.847370
    1.290000    0.000000    0.803396
    1.300000    0.000000    0.763437
    1.310000    0.000000    0.727300
    1.320000    0.000000    0.694796
    1.330000    0.000000    0.665745
    1.340000    0.000000    0.639969
    1.350000    0.000000    0.617297
    1.360000    0.000000    0.597565
    1.370000    0.000000    0.580613
    1.380000    0.000000    0.566286
    1.390000    0.000000    0.554435
    1.400000    0.000000    0.544918
    1.410000    0.000000    0.537596
    1.420000    0.000000    0.532337
    1.430000    0.000000    0.529013
    1.440000    0.000000    0.527504
    1.450000    0.000000    0.527691
    1.460000    0.000000    0.529463
    1.470000    0.000000    0.532713
    1.480000    0.000000    0.537341
    1.490000    0.000000    0.543248
    1.500000    0.000000    0.550342
    1.510000    0.000000    0.558536
    1.520000    0.000000    0.567746
    1.530000    0.000000    0.577895
    1.540000    0.000000    0.588906
    1.550000    0.000000    0.600709
    1.560000    0.000000    0.613239
    1.570000    0.000000    0.626432
    1.580000    0.000000    0.640229
    1.590000    0.000000    0.654575
    1.600000    0.000000    0.669418
    1.610000    0.000000    0.684710
    1.620000    0.000000    0.700404
    1.630000    0.000000    0.716460
    1.640000    0.000000    0.732837
    1.650000    0.000000    0.749500
    1.660000    0.000000    0.766414
    1.670000    0.000000    0.783548
    1.680000    0.000000    0.800874
    1.690000    0.000000    0.818366
    1.700000    0.000000    0.835999
    1.710000    0.000000    0.853752
    1.720000    0.000000    0.871604
    1.730000    0.000000    0.889539
    1.740000    0.000000    0.907540
    1.750000    0.000000    0.925593
    1.760000    0.000000    0.943685
    1.770000    0.000000    0.961805
    1.780000    0.000000    0.979943
    1.790000    0.000000    0.998092
    1.800000    0.000000    1.016245
    1.810000    0.000000    1.034396
    1.820000    0.000000    1.052540
    1.830000    0.000000    1.070674
    1.840000    0.000000    1.088796
    1.850000    0.000000    1.106904
    1.860000    0.000000    1.124997
    1.870000    0.000000    1.143076
    1.880000    0.000000    1.161142
    1.890000    0.000000    1.179197
    1.900000    0.000000    1.197242
    1.910000    0.000000    1.215282
    1.920000    0.000000    1.233318
    1.930000    0.000000    1.251356
    1.940000    0.000000    1.269399
    1.950000    0.000000    1.287452
    1.960000    0.000000    1.305522
    1.970000    0.000000    1.323613
    1.980000    0.000000    1.341731
    1.990000    0.000000    1.359882
    2.000000    0.000000    1.378073
    2.010000    0.000000    1.391412
    2.020000    0.000000    1.396258
    2.030000    0.000000    1.394199
    2.040000    0.000000    1.386510
    2.050000    0.000000    1.374229
    2.060000    0.000000    1.358212
    2.070000    0.000000    1.339176
    2.080000    0.000000    1.317727
    2.090000    0.000000    1.294386
    2.100000    0.000000    1.269601
    2.110000    0.000000    1.243765
    2.120000    0.000000    1.217220
    2.130000    0.000000    1.190269
    2.140000    0.000000    1.163178
    2.150000    0.000000    1.136182
    2.160000    0.000000    1.109488
    2.170000    0.000000    1.083279
    2.180000    0.000000    1.057715
    2.190000    0.000000    1.032935
    2.200000    0.000000    1.009060
    2.210000    0.000000    0.986193
    2.220000    0.000000    0.964421
    2.230000    0.000000    0.943817
    2.240000    0.000000    0.924440
    2.250000    0.000000    0.906336
    2.260000    0.000000    0.889541
    2.270000    0.000000    0.874078
    2.280000    0.000000    0.859962
    2.290000    0.000000    0.847199
    2.300000    0.000000    0.835787
    2.310000    0.000000    0.825716
    2.320000    0.000000    0.816969
    2.330000    0.000000    0.809524
