#          r        u(r)        g(r)
    0.010000         inf    0.000000
    0.020000         inf    0.000000
    0.030000         inf    0.000000
    0.040000         inf    0.000000
    0.050000         inf    0.000000
    0.060000         inf    0.000000
    0.070000         inf    0.000000
    0.080000         inf    0.000000
    0.090000         inf    0.000000
    0.100000         inf    0.000000
    0.110000         inf    0.000000
    0.120000         inf    0.000000
    0.130000         inf    0.000000
    0.140000         inf    0.000000
    0.150000         inf    0.000000
    0.160000         inf    0.000000
    0.170000         inf    0.000000
    0.180000         inf    0.000000
    0.190000         inf    0.000000
    0.200000         inf    0.000000
    0.210000         inf    0.000000
    0.220000         inf    0.000000
    0.230000         inf    0.000000
    0.240000         inf    0.000000
    0.250000         inf    0.000000
    0.260000         inf    0.000000
    0.270000         inf    0.000000
    0.280000         inf    0.000000
    0.290000         inf    0.000000
    0.300000         inf    0.000000
    0.310000         inf    0.000000
    0.320000         inf    0.000000
    0.330000         inf    0.000000
    0.340000         inf    0.000000
    0.350000         inf    0.000000
    0.360000         inf    0.000000
    0.370000         inf    0.000000
    0.380000         inf    0.000000
    0.390000         inf    0.000000
    0.400000         inf    0.000000
    0.410000         inf    0.000000
    0.420000         inf    0.000000
    0.430000         inf    0.000000
    0.440000         inf    0.000000
    0.450000         inf    0.000000
    0.460000         inf    0.000000
    0.470000         inf    0.000000
    0.480000         inf    0.000000
    0.490000         inf    0.000000
    0.500000         inf    0.000000
    0.510000         inf    0.000000
    0.520000         inf    0.000000
    0.530000         inf    0.000000
    0.540000         inf    0.000000
    0.550000         inf    0.000000
    0.560000         inf    0.000000
    0.570000         inf    0.000000
    0.580000         inf    0.000000
    0.590000         inf    0.000000
    0.600000         inf    0.000000
    0.610000         inf    0.000000
    0.620000         inf    0.000000
    0.630000         inf    0.000000
    0.640000         inf    0.000000
    0.650000         inf    0.000000
    0.660000         inf    0.000000
    0.670000         inf    0.000000
    0.680000         inf    0.000000
    0.690000         inf    0.000000
    0.700000         inf    0.000000
    0.710000         inf    0.000000
    0.720000         inf    0.000000
    0.730000         inf    0.000000
    0.740000         inf    0.000000
    0.750000         inf    0.000000
    0.760000         inf    0.000000
    0.770000         inf    0.000000
    0.780000         inf    0.000000
    0.790000         inf    0.000000
    0.800000         inf    0.000000
    0.810000         inf    0.000000
    0.820000         inf    0.000000
    0.830000         inf    0.000000
    0.840000         inf    0.000000
    0.850000         inf    0.000000
    0.860000         inf    0.000000
    0.870000         inf    0.000000
    0.880000         inf    0.000000
    0.890000         inf    0.000000
    0.900000         inf    0.000000
    0.910000         inf    0.000000
    0.920000         inf    0.000000
    0.930000         inf    0.000000
    0.940000         inf    0.000000
    0.950000         inf    0.000000
    0.960000         inf    0.000000
    0.970000         inf    0.000000
    0.980000         inf    0.000000
    0.990000         inf    0.000000
    1.000000    0.000000    1.303155
    1.010000    0.000000    1.295870
    1.020000    0.000000    1.288688
    1.030000    0.000000    1.281606
    1.040000    0.000000    1.274623
    1.050000    0.000000    1.267737
    1.060000    0.000000    1.260947
    1.070000    0.000000    1.254252
    1.080000    0.000000    1.247651
    1.090000    0.000000    1.241142
    1.100000    0.000000    1.234724
    1.110000    0.000000    1.228397
    1.120000    0.000000    1.222159
    1.130000    0.000000    1.216009
    1.140000    0.000000    1.209948
    1.150000    0.000000    1.203974
    1.160000    0.000000    1.198086
    1.170000    0.000000    1.192284
    1.180000    0.000000    1.186568
    1.190000    0.000000    1.180937
    1.200000    0.000000    1.175390
    1.210000    0.000000    1.169927
    1.220000    0.000000    1.164547
    1.230000    0.000000    1.159251
    1.240000    0.000000    1.154038
    1.250000    0.000000    1.148907
    1.260000    0.000000    1.143858
    1.270000    0.000000    1.138891
    1.280000    0.000000    1.134006
    1.290000    0.000000    1.129203
    1.300000    0.000000    1.124480
    1.310000    0.000000    1.119839
    1.320000    0.000000    1.115278
    1.330000    0.000000    1.110797
    1.340000    0.000000    1.106398
    1.350000    0.000000    1.102078
    1.360000    0.000000    1.097838
    1.370000    0.000000    1.093678
    1.380000    0.000000    1.089598
    1.390000    0.000000    1.085598
    1.400000    0.000000    1.081677
    1.410000    0.000000    1.077835
    1.420000    0.000000    1.074072
    1.430000    0.000000    1.070389
    1.440000    0.000000    1.066784
    1.450000    0.000000    1.063259
    1.460000    0.000000    1.059812
    1.470000    0.000000    1.056443
    1.480000    0.000000    1.053154
    1.490000    0.000000    1.049942
    1.500000    0.000000    1.046810
    1.510000    0.000000    1.043755
    1.520000    0.000000    1.040778
    1.530000    0.000000    1.037880
    1.540000    0.000000    1.035060
    1.550000    0.000000    1.032317
    1.560000    0.000000    1.029652
    1.570000    0.000000    1.027065
    1.580000    0.000000    1.024556
    1.590000    0.000000    1.022124
    1.600000    0.000000    1.019770
    1.610000    0.000000    1.017493
    1.620000    0.000000    1.015293
    1.630000    0.000000    1.013171
    1.640000    0.000000    1.011126
    1.650000    0.000000    1.009158
    1.660000    0.000000    1.007267
    1.670000    0.000000    1.005452
    1.680000    0.000000    1.003715
    1.690000    0.000000    1.002054
    1.700000    0.000000    1.000470
    1.710000    0.000000    0.998963
    1.720000    0.000000    0.997532
    1.730000    0.000000    0.996178
    1.740000    0.000000    0.994900
    1.750000    0.000000    0.993698
    1.760000    0.000000    0.992573
    1.770000    0.000000    0.991523
    1.780000    0.000000    0.990550
    1.790000    0.000000    0.989653
    1.800000    0.000000    0.988832
    1.810000    0.000000    0.988087
    1.820000    0.000000    0.987417
    1.830000    0.000000    0.986823
    1.840000    0.000000    0.986305
    1.850000    0.000000    0.985863
    1.860000    0.000000    0.985496
    1.870000    0.000000    0.985205
    1.880000    0.000000    0.984989
    1.890000    0.000000    0.984848
    1.900000    0.000000    0.984783
    1.910000    0.000000    0.984793
    1.920000    0.000000    0.984878
    1.930000    0.000000    0.985038
    1.940000    0.000000    0.985273
    1.950000    0.000000    0.985584
    1.960000    0.000000    0.985969
    1.970000    0.000000    0.986430
    1.980000    0.000000    0.986965
    1.990000    0.000000    0.987575
    2.000000    0.000000    0.988260
    2.010000    0.000000    0.988969
    2.020000    0.000000    0.989651
    2.030000    0.000000    0.990307
    2.040000    0.000000    0.990938
    2.050000    0.000000    0.991545
    2.060000    0.000000    0.992127
    2.070000    0.000000    0.992685
    2.080000    0.000000    0.993220
    2.090000    0.000000    0.993733
    2.100000    0.000000    0.994224
    2.110000    0.000000    0.994693
    2.120000    0.000000    0.995141
    2.130000    0.000000    0.995570
    2.140000    0.000000    0.995978
    2.150000    0.000000    0.996367
    2.160000    0.000000    0.996737
    2.170000    0.000000    0.997089
    2.180000    0.000000    0.997423
    2.190000    0.000000    0.997739
    2.200000    0.000000    0.998039
    2.210000    0.000000    0.998323
    2.220000    0.000000    0.998590
    2.230000    0.000000    0.998843
    2.240000    0.000000    0.999080
    2.250000    0.000000    0.999304
    2.260000    0.000000    0.999513
    2.270000    0.000000    0.999708
    2.280000    0.000000    0.999891
    2.290000    0.000000    1.000061
    2.300000    0.000000    1.000219
    2.310000    0.000000    1.000365
    2.320000    0.000000    1.000500
    2.330000    0.000000    1.000623
