#          r        u(r)        g(r)
    0.010000         inf    0.000000
    0.020000         inf    0.000000
    0.030000         inf    0.000000
    0.040000         inf    0.000000
    0.050000         inf    0.000000
    0.060000         inf    0.000000
    0.070000         inf    0.000000
    0.080000         inf    0.000000
    0.090000         inf    0.000000
    0.100000         inf    0.000000
    0.110000         inf    0.000000
    0.120000         inf    0.000000
    0.130000         inf    0.000000
    0.140000         inf    0.000000
    0.150000         inf    0.000000
    0.160000         inf    0.000000
    0.170000         inf    0.000000
    0.180000         inf    0.000000
    0.190000         inf    0.000000
    0.200000         inf    0.000000
    0.210000         inf    0.000000
    0.220000         inf    0.000000
    0.230000         inf    0.000000
    0.240000         inf    0.000000
    0.250000         inf    0.000000
    0.260000         inf    0.000000
    0.270000         inf    0.000000
    0.280000         inf    0.000000
    0.290000         inf    0.000000
    0.300000         inf    0.000000
    0.310000         inf    0.000000
    0.320000         inf    0.000000
    0.330000         inf    0.000000
    0.340000         inf    0.000000
    0.350000         inf    0.000000
    0.360000         inf    0.000000
    0.370000         inf    0.000000
    0.380000         inf    0.000000
    0.390000         inf    0.000000
    0.400000         inf    0.000000
    0.410000         inf    0.000000
    0.420000         inf    0.000000
    0.430000         inf    0.000000
    0.440000         inf    0.000000
    0.450000         inf    0.000000
    0.460000         inf    0.000000
    0.470000         inf    0.000000
    0.480000         inf    0.000000
    0.490000         inf    0.000000
    0.500000         inf    0.000000
    0.510000         inf    0.000000
    0.520000         inf    0.000000
    0.530000         inf    0.000000
    0.540000         inf    0.000000
    0.550000         inf    0.000000
    0.560000         inf    0.000000
    0.570000         inf    0.000000
    0.580000         inf    0.000000
    0.590000         inf    0.000000
    0.600000         inf    0.000000
    0.610000         inf    0.000000
    0.620000         inf    0.000000
    0.630000         inf    0.000000
    0.640000         inf    0.000000
    0.650000         inf    0.000000
    0.660000         inf    0.000000
    0.670000         inf    0.000000
    0.680000         inf    0.000000
    0.690000         inf    0.000000
    0.700000         inf    0.000000
    0.710000         inf    0.000000
    0.720000         inf    0.000000
    0.730000         inf    0.000000
    0.740000         inf    0.000000
    0.750000         inf    0.000000
    0.760000         inf    0.000000
    0.770000         inf    0.000000
    0.780000         inf    0.000000
    0.790000         inf    0.000000
    0.800000         inf    0.000000
    0.810000         inf    0.000000
    0.820000         inf    0.000000
    0.830000         inf    0.000000
    0.840000         inf    0.000000
    0.850000         inf    0.000000
    0.860000         inf    0.000000
    0.870000         inf    0.000000
    0.880000         inf    0.000000
    0.890000         inf    0.000000
    0.900000         inf    0.000000
    0.910000         inf    0.000000
    0.920000         inf    0.000000
    0.930000         inf    0.000000
    0.940000         inf    0.000000
    0.950000         inf    0.000000
    0.960000         inf    0.000000
    0.970000         inf    0.000000
    0.980000         inf    0.000000
    0.990000         inf    0.000000
    1.000000    0.000000    1.025457
    1.010000    0.000000    1.024988
    1.020000    0.000000    1.024522
    1.030000    0.000000    1.024059
    1.040000    0.000000    1.023600
    1.050000    0.000000    1.023145
    1.060000    0.000000    1.022693
    1.070000    0.000000    1.022244
    1.080000    0.000000    1.021799
    1.090000    0.000000    1.021358
    1.100000    0.000000    1.020920
    1.110000    0.000000    1.020486
    1.120000    0.000000    1.020056
    1.130000    0.000000    1.019629
    1.140000    0.000000    1.019206
    1.150000    0.000000    1.018787
    1.160000    0.000000    1.018372
    1.170000    0.000000    1.017960
    1.180000    0.000000    1.017552
    1.190000    0.000000    1.017148
    1.200000    0.000000    1.016748
    1.210000    0.000000    1.016352
    1.220000    0.000000    1.015960
    1.230000    0.000000    1.015572
    1.240000    0.000000    1.015188
    1.250000    0.000000    1.014808
    1.260000    0.000000    1.014432
    1.270000    0.000000    1.014060
    1.280000    0.000000    1.013692
    1.290000    0.000000    1.013328
    1.300000    0.000000    1.012969
    1.310000    0.000000    1.012613
    1.320000    0.000000    1.012262
    1.330000    0.000000    1.011915
    1.340000    0.000000    1.011573
    1.350000    0.000000    1.011235
    1.360000    0.000000    1.010901
    1.370000    0.000000    1.010571
    1.380000    0.000000    1.010246
    1.390000    0.000000    1.009925
    1.400000    0.000000    1.009609
    1.410000    0.000000    1.009297
    1.420000    0.000000    1.008990
    1.430000    0.000000    1.008687
    1.440000    0.000000    1.008389
    1.450000    0.000000    1.008096
    1.460000    0.000000    1.007807
    1.470000    0.000000    1.007523
    1.480000    0.000000    1.007243
    1.490000    0.000000    1.006968
    1.500000    0.000000    1.006698
    1.510000    0.000000    1.006433
    1.520000    0.000000    1.006172
    1.530000    0.000000    1.005917
    1.540000    0.000000    1.005666
    1.550000    0.000000    1.005420
    1.560000    0.000000    1.005179
    1.570000    0.000000    1.004942
    1.580000    0.000000    1.004711
    1.590000    0.000000    1.004485
    1.600000    0.000000    1.004264
    1.610000    0.000000    1.004048
    1.620000    0.000000    1.003837
    1.630000    0.000000    1.003631
    1.640000    0.000000    1.003430
    1.650000    0.000000    1.003234
    1.660000    0.000000    1.003044
    1.670000    0.000000    1.002858
    1.680000    0.000000    1.002678
    1.690000    0.000000    1.002504
    1.700000    0.000000    1.002334
    1.710000    0.000000    1.002170
    1.720000    0.000000    1.002011
    1.730000    0.000000    1.001858
    1.740000    0.000000    1.001710
    1.750000    0.000000    1.001568
    1.760000    0.000000    1.001431
    1.770000    0.000000    1.001299
    1.780000    0.000000    1.001173
    1.790000    0.000000    1.001052
    1.800000    0.000000    1.000938
    1.810000    0.000000    1.000828
    1.820000    0.000000    1.000725
    1.830000    0.000000    1.000627
    1.840000    0.000000    1.000534
    1.850000    0.000000    1.000448
    1.860000    0.000000    1.000367
    1.870000    0.000000    1.000292
    1.880000    0.000000    1.000223
    1.890000    0.000000    1.000159
    1.900000    0.000000    1.000102
    1.910000    0.000000    1.000050
    1.920000    0.000000    1.000004
    1.930000    0.000000    0.999964
    1.940000    0.000000    0.999930
    1.950000    0.000000    0.999902
    1.960000    0.000000    0.999881
    1.970000    0.000000    0.999865
    1.980000    0.000000    0.999855
    1.990000    0.000000    0.999851
    2.000000    0.000000    0.999854
    2.010000    0.000000    0.999860
    2.020000    0.000000    0.999865
    2.030000    0.000000    0.999870
    2.040000    0.000000    0.999875
    2.050000    0.000000    0.999880
    2.060000    0.000000    0.999885
    2.070000    0.000000    0.999890
    2.080000    0.000000    0.999894
    2.090000    0.000000    0.999899
    2.100000    0.000000    0.999903
    2.110000    0.000000    0.999907
    2.120000    0.000000    0.999911
    2.130000    0.000000    0.999915
    2.140000    0.000000    0.999919
    2.150000    0.000000    0.999922
    2.160000    0.000000    0.999926
    2.170000    0.000000    0.999929
    2.180000    0.000000    0.999933
    2.190000    0.000000    0.999936
    2.200000    0.000000    0.999939
    2.210000    0.000000    0.999942
    2.220000    0.000000    0.999945
    2.230000    0.000000    0.999948
    2.240000    0.000000    0.999951
    2.250000    0.000000    0.999953
    2.260000    0.000000    0.999956
    2.270000    0.000000    0.999958
    2.280000    0.000000    0.999960
    2.290000    0.000000    0.999963
    2.300000    0.000000    0.999965
    2.310000    0.000000    0.999967
    2.320000    0.000000    0.999969
    2.330000    0.000000    0.999971
